SampleNumber,BioYear,pack,hr_type,Prey,mean_read_count,total_reads_sample,prop_reads_sample
406,2015,Ratz,annual,Odocoileus hemionus,95292.25,98557.25,0.966872046
406,2015,Ratz,annual,Ursus americanus,2147,98557.25,0.021784293
406,2015,Ratz,annual,Castor canadensis,1118,98557.25,0.011343661
407,2015,Ratz,annual,Ursus americanus,21530.6667,121501.6667,0.177204702
407,2015,Ratz,annual,Odocoileus hemionus,99971,121501.6667,0.822795298
408,2015,Ratz,annual,Odocoileus hemionus,181799,184136,0.987308294
408,2015,Ratz,annual,Castor canadensis,1267,184136,0.006880784
408,2015,Ratz,annual,Ursus americanus,1070,184136,0.005810922
409,2015,Ratz,annual,Odocoileus hemionus,93071,97304,0.956497164
409,2015,Ratz,annual,Castor canadensis,4233,97304,0.043502836
410,2015,NA,NA,Odocoileus hemionus,56424.75,56424.75,1
581,2015,Ratz,annual,Odocoileus hemionus,38760,38760,1
582,2015,Ratz,annual,Castor canadensis,47079.66667,47079.66667,1
583,2015,Honker,annual,Odocoileus hemionus,6743,6743,1
584,2015,Honker,annual,Odocoileus hemionus,70317.66667,70317.66667,1
585,2015,Honker,annual,Odocoileus hemionus,55585.5,56322.5,0.986914643
585,2015,Honker,annual,Castor canadensis,737,56322.5,0.013085357
586,2015,Honker,annual,Castor canadensis,10855,10855,1
588,2015,Honker,annual,Castor canadensis,10559,10559,1
589,2015,Honker,annual,Odocoileus hemionus,19578.66667,19578.66667,1
590,2015,Honker,annual,Lontra canadensis,6467.333333,6467.333333,1
596,2016,Ratz,annual,Castor canadensis,104953.3333,104953.3333,1
713,2015,Snow Pass,annual,Odocoileus hemionus,106756.6667,106756.6667,1
